"original_title,""overview"",""popularity"",""release_date"",""vote_average"",""vote_count"",""budget"",""keywords"",""director"",""comentarios""",,,,,,,
"The Elephant Man,""An uptight documentary filmmaker and his wife find their lives loosened up a bit after befriending a free-spirited younger couple."",""1.93E+16"",""4/3/2015"",""58"",""383"",""10000000"",""father-in-law marriage documentary filmmaking hipster middle age"",""Noah Baumbach"",""""",,,,,,,
"Private Benjamin,""Katherine is a typical teenager. Today's her funeral. The four adults in her life have a lot on their mind - and it's not all about Katherine either. With a frankness that's strikingly disarming as well as frequently self-serving, the grown-ups struggle with being... well... grown-up."",""2.44E+16"",""4/3/2015"",""45"",""2"",""0"","""",""Charlie Levi"",""""",,,,,,,
"Raging Bull,""Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother."",""1.02E+16"",""4/1/2015"",""73"",""4176"",""190000000"",""car race speed revenge suspense car"",""James Wan"",""""",,,,,,,
"Heaven's Gate,""When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other."",""36301202"",""3/26/2015"",""59"",""944"",""40000000"",""prison training framed embezzlement"",""Etan Cohen"",""""",,,,,,,
"Superman II,""When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate."",""2470443"",""3/20/2015"",""66"",""48"",""0"",""christian"",""Jon Gunn"",""""",,,,,,,
"Sphinx,""THE WALKING DECEASED is the Scary Movie of the zombie genre, ripping on the biggest and best of zombie pop-culture, arguably the most crazed genre in the world. The story follows a group of survivors from all walks of the apocalypse â€“ an idiotic Sheriff with definite coma-induced brain damage, his hardass son and a hobo with only a crossbow to stave off the walking dead, four squabbling friends forced to survive this zombieland together, and a lonely zombie who just needs love to fully regain his warm body â€“ who leave their once-safe mall hideout in search of the rumored Safe Haven Ranch, a refuge untouched by the zombie virus that has ravaged humanity. But despite the comforting name, they discover that this sanctuary may not be as welcoming as advertised."",""1332804"",""3/20/2015"",""42"",""35"",""0"",""spoof zombie"",""Scott Dow"",""""",,,,,,,
"Nighthawks,""An ageing rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon."",""1.63E+16"",""3/19/2015"",""66"",""183"",""10000000"",""rock star middle age"",""Dan Fogelman"",""""",,,,,,,
"The Postman Always Rings Twice,""When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize thereâ€™s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime."",""63473086"",""3/18/2015"",""68"",""1519"",""135000000"",""friendship spaceship space alien alien invasion"",""Tim Johnson"",""""",,,,,,,
"The Howling,""Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart."",""1.04E+16"",""3/18/2015"",""62"",""3829"",""110000000"",""based on novel revolution dystopia sequel dystopic future"",""Robert Schwentke"",""""",,,,,,,
"Lion of the Desert,""Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership."",""4.04E+16"",""3/15/2015"",""61"",""547"",""50000000"",""based on novel soviet union russian murder serial killer"",""Daniel Espinosa"",""""",,,,,,,
"The Beyond,""The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars."",""4289676"",""3/15/2015"",""50"",""10"",""0"","""",""Vidhu Vinod Chopra"",""""",,,,,,,
"Friday the 13th Part 2,""The story follows 19-year-old Renee who has always loved fairy tales: the idea of a princess, a hero and a happily ever after. But Reneeâ€™s life is that of a darker tale: sheâ€™s a young woman battling addiction, depression and self-injury. In a creative blend of artistic fantasy balanced with harsh reality, the movie follows Renee on her courageous journey towards recovery."",""6.72E+16"",""3/13/2015"",""68"",""47"",""3400000"",""depression biography drug"",""Nathan Frankowski"",""""",,,,,,,
"Graduation Day,""A ticket-taker at the local cinema believes he is the son of God. He has agreed to decide the eternal fate of everyone he comes in to contact with."",""2659006"",""3/13/2015"",""53"",""26"",""700000"",""god woman director"",""Anna Mastro"",""""",,,,,,,
"Inchon,""When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods."",""1.01E+16"",""3/12/2015"",""67"",""2374"",""95000000"",""cinderella magic prince fairy tale kingdom"",""Kenneth Branagh"",""""",,,,,,,
"Chariots of Fire,""Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his pastâ€”as well as a dogged police detective whoâ€™s been one step behind Jimmy for 30 years. But when Jimmyâ€™s estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right."",""7464653"",""3/11/2015"",""63"",""1148"",""50000000"",""hitman revenge murder on the run mobster"",""Jaume Collet-Serra"",""""",,,,,,,
"The Four Seasons,""An investigation into a retired WWII sub plunges a research team into a supernatural journey across the dark abyss of time - with history hanging in the balance."",""397323"",""3/10/2015"",""34"",""4"",""0"",""submarine woman director"",""Georgia Hilton"",""""",,,,,,,
"Escape from New York,""A beautiful diva is murdered on the set of horror director Vincent Augustine's latest film """"Chapel Blood."""" Somewhere between the crime scene and the coroner's van, the body mysteriously disappears. Meanwhile, the city's supply of donated blood is being dangerously depleted. Suspecting a connection between the events, detectives Mike Hung and Sasha Colfax go undercover at the studio to investigate. Their attempt to crack the case quickly turns into a desperate battle for survival when they uncover an age-old war between rival vampire covens that threatens to consume humanity in a final, grisly assault of Teeth and Blood!"",""55325"",""3/10/2015"",""30"",""1"",""0"","""","""",""""",,,,,,,
"Raiders of the Lost Ark,""After his movie and television career has run dry, Bruce Madsen (Adam Carolla) is forced to go back on the road playing one dingy comedy club after another, spending endless nights in budget hotel rooms and always flying coach. Amidst trying to revitalize his career, rekindle his love life and put his daughter through college, Bruce knows one thing for sure - he must get off the road. ROAD HARD is the story of that journey."",""8.59E+15"",""3/6/2015"",""66"",""8"",""1500000"",""road trip stand-up comedy romantic comedy travel"",""Adam Carolla"",""""",,,,,,,
"History of the World: Part I,""A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable â€“ and unimaginable â€“ way, including unplanned stops at a massive sex fetish event and a global economic summit."",""1.68E+16"",""3/5/2015"",""50"",""320"",""35000000"",""europe business trip"",""Ken Scott"",""""",,,,,,,
"For Your Eyes Only,""Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingsâ€”some good, some badâ€”and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot."",""116700319"",""3/4/2015"",""66"",""3062"",""49000000"",""artificial intelligence android robot near future robot cop"",""Neill Blomkamp"",""""",,,,,,,
"Stripes,""Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear."",""1.01E+16"",""2/27/2015"",""51"",""74"",""10000000"",""grizzly bear wilderness forest alaska survival"",""David Hackl"",""""",,,,,,,
"Dragonslayer,""In the wild west, two brothers embark on a journey to collect a bounty in a desperate attempt to save their home: but what they find along the way is more than they bargained for."",""803761"",""2/27/2015"",""41"",""15"",""0"","""",""Anthony O'Brien"",""""",,,,,,,
"Time Bandits,""As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel."",""17592299"",""2/26/2015"",""63"",""272"",""10000000"",""india retirement home"",""John Madden"",""""",,,,,,,
"Blow Out,""Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved"," but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game."",""5.96E+15"",""2/25/2015"",""67"",""2542"",""50100000"",""seduction con man femme fatale deception rivalry"",""Glenn Ficarra"",""""",,,,,,
"Under the Rainbow,""A track coach in a small California town transforms a team of athletes into championship contenders."",""14023082"",""2/20/2015"",""74"",""213"",""0"",""california small town coach championship woman director"",""Niki Caro"",""""",,,,,,,
"Heavy Metal,""When Lou, who has become the """"father of the Internet,"""" is shot by an unknown assailant, Jacob and Nick fire up the time machine again to save their friend."",""1.66E+16"",""2/20/2015"",""50"",""354"",""14000000"",""time travel sequel hot tub duringcreditsstinger"",""Steve Pink"",""""",,,,,,,
"The Legend of the Lone Ranger,""Bianca's universe turns upside down when she learns that her high school refers to her as a â€˜DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFFâ€¦ and that's totally fine."",""4028709"",""2/20/2015"",""68"",""1322"",""8500000"",""high school teenager popularity high school student teen comedy"",""Ari Sandel"",""""",,,,,,,
"Das Boot,""Huo An, the commander of the Protection Squad of the Western Regions, was framed by evil forces and becomes enslaved. On the other hand, a Roman general escapes to China after rescuing the Prince. The heroic duo meet in the Western Desert and a thrilling story unfolds."",""9.57E+15"",""2/19/2015"",""59"",""145"",""65000000"","""",""Daniel Lee"",""""",,,,,,,
"Mommie Dearest,""Eight years after fleeing the Congo following his assassination of that country's minister of mining, former assassin Jim Terrier is back, suffering from PTSD and digging wells to atone for his violent past. After an attempt is made on his life, Terrier flies to London to find out who wants him dead -- and why. Terrier's search leads him to a reunion with Annie, a woman he once loved, who is now married to an oily businessman with dealings in Africa."",""26935458"",""2/16/2015"",""55"",""392"",""40000000"",""assassin hitman"",""Pierre Morel"",""""",,,,,,,
"The Evil Dead,""The Lovers is an epic romance time travel adventure film. Helmed by Roland JoffÃ© from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters â€” a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife."",""2418535"",""2/13/2015"",""48"",""34"",""27000000"","""",""Roland Joff\u00e9"",""""",,,,,,,
"Roar,""A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts."",""12564554"",""2/12/2015"",""49"",""148"",""3000000"",""detective haunted house investigation anti-christ possession"",""Will Canon"",""""",,,,,,,
"The Pursuit of D.B. Cooper,""When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure."",""98755657"",""2/11/2015"",""52"",""3254"",""40000000"",""based on novel perversion spanking billionaire bdsm"",""Sam Taylor-Johnson"",""""",,,,,,,
"Porky's,""A small town waitress gets a nail accidentally lodged in her head causing unpredictable behavior that leads her to Washington, DC.  Sparks fly when she meets a clueless young senator who takes up her cause - but what happens when love interferes with what you stand for?"",""5644844"",""2/10/2015"",""39"",""95"",""26000000"",""one-night stand romantic comedy accidental love"",""David O. Russell"",""""",,,,,,,
"Quest for Fire,""An associative collection of visual impressions across fifteen chapters: a seagull in Porto, political posters in New York, an abstract painting in St. Petersburg, an abandoned video shop in Cairo and cats everywhere you look."",""293587"",""2/9/2015"",""83"",""3"",""50000"","""",""Jem Cohen"",""""",,,,,,,
"Heartbeeps,""After leaving her daughter Jessica in a small town in Pernambuco to be raised by relatives, Val spends the next 13 years working as a nanny to Fabinho in SÃ£o Paulo. She has financial stability but has to live with the guilt of having not raised Jessica herself. As Fabinhoâ€™s university entrance exams approach, Jessica reappears in her life and seems to want to give her mother a second chance. However Jessica has not been raised to be a servant and her very existence will turn Valâ€™s routine on its head. With precision and humour, Anna Muylaert turns her eye on the subtle and powerful forces that keep rigid class structures in place and how the youth may just be the ones to shake it all up."",""9683622"",""2/8/2015"",""78"",""165"",""0"",""brazilian brazil pool mother daughter relationship architecture"",""Anna Muylaert"",""""",,,,,,,
"Mad Max 2: The Road Warrior,""Maurice, a reticent young homeless man, somehow manages to get by in Brooklyn"," he spends his nights in parked cars until he finds himself at Bizarre, an underground club renowned for its burlesque shows. Maurice is fascinated by the clubâ€™s playful revues celebrating self-determined sexuality and creative otherness, and the two female club owners both adore him. He soon becomes a part of their self-selected family, and begins to bond with introverted Luka. But Maurice turns his back on Lukaâ€™s growing affection. Running away from his true emotions he drifts aimlessly through the city. He tries to find his feet at a boxing club, where he meets Charlie. Unable to withstand the pressure of his repressed feelings, Maurice unleashes a mounting foment of emotions, pervaded by tenderness and menace."",""583446"",""2/7/2015"",""62"",""11"",""0"","""",""\u00c9tienne Faure"",""""",,,,,,
"Reds,""Burger Beard is a pirate who is in search of the final page of a magical book that makes any evil plan he writes in it come true, which happens to be the Krabby Patty secret formula. When the entire city of Bikini Bottom is put in danger, SpongeBob, Patrick, Mr. Krabs, Squidward, Sandy, and Plankton need to go on a quest that takes them to the surface. In order to get back the recipe and save their city, the gang must retrieve the book and transform themselves into superheroes."",""36952268"",""2/5/2015"",""58"",""719"",""74000000"",""ocean sea star water comedy"",""Paul Tibbitt"",""""",,,,,,,
"Modern Problems,""In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynastyâ€¦"",""8.54E+15"",""2/4/2015"",""52"",""2768"",""176000003"",""jupiter space woman director 3d interspecies romance"",""Lilly Wachowski"",""""",,,,,,,
"Butterfly,""For 19-year-old Jay, fall should be about school, boys and weekends out at the lake. But a seemingly innocent physical encounter turns sour and gives her the inescapable sense that someone, or something, is following her. Faced with this burden, Jay and her teenage friends must find a way to escape the horror that seems to be only a few steps behind."",""1.01E+16"",""2/4/2015"",""66"",""1832"",""2000000"",""chase supernatural friends vision school"",""David Robert Mitchell"",""""",,,,,,,
"The Man from Snowy River,""A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control."",""32940597"",""1/30/2015"",""64"",""933"",""12000000"",""time travel time machine teenager found footage"",""Dean Israelite"",""""",,,,,,,
"Conan the Barbarian,""Medical researcher Frank, his fiancee Zoe and their team have achieved the impossible: they have found a way to revive the dead. After a successful, but unsanctioned, experiment on a lifeless animal, they are ready to make their work public. However, when their dean learns what they've done, he shuts them down. Zoe is killed during an attempt to recreate the experiment, leading Frank to test the process on her. Zoe is revived -- but something evil is within her."",""2.03E+16"",""1/29/2015"",""51"",""505"",""3300000"",""terror experiment afterlife paranormal violence"",""David Gelb"",""""",,,,,,,
"Cat People,""The 1967 'Six-Day' war ended with Israel's decisive victory"," conquering Jerusalem, Gaza, Sinai and the West Bank. It is a war portrayed, to this day, as a righteous undertaking - a radiant emblem of Jewish pride. One week after the war, a group of young kibbutzniks, led by renowned author Amos Oz, recorded intimate conversations with soldiers returning from the battlefield. The recording revealed an honest look at the moment Israel turned from David to Goliath. The Israeli army censored the recordings, allowing the kibbutzniks to publish only a fragment of the conversations. 'Censored Voices' reveals the original recordings for the first time."",""59458"",""1/24/2015"",""51"",""8"",""0"",""woman director"",""Mor Loushy"",""""",,,,,,
"Diner,""A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn."",""24161735"",""1/23/2015"",""41"",""1022"",""4000000"",""male nudity female nudity sex adultery infidelity"",""Rob Cohen"",""""",,,,,,,
"E.T. the Extra-Terrestrial,""Art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold."",""5.24E+16"",""1/21/2015"",""54"",""1055"",""60000000"",""based on novel painting debt art dealer stolen painting"",""David Koepp"",""""",,,,,,,
"Star Trek II: The Wrath of Khan,""Caleb, a 26 year old coder at the world's largest internet company, wins a competition to spend a week at a private mountain retreat belonging to Nathan, the reclusive CEO of the company. But when Caleb arrives at the remote location he finds that he will have to participate in a strange and fascinating experiment in which he must interact with the world's first true artificial intelligence, housed in the body of a beautiful robot girl."",""95130041"",""1/21/2015"",""76"",""4737"",""15000000"",""dancing artificial intelligence distrust isolation technology"",""Alex Garland"",""""",,,,,,,
"Poltergeist,""During an all-night, drug-fueled party at an abandoned asylum known for the horrific treatment of its patients, a group of ordinary teens decide to experiment with the occult, mysteriously leading to a violent possession. In an effort to find help, the group rushes to escape, only to find themselves locked inside with no means of communication. Tempers flare, trusts are broken and in attempt to save one of their friends possessed by the demon, the amateurs try to perform an exorcism. Instead of solving the problem, and unbeknownst to them, they unleash an even more powerful and vengeful spirit, one with a distinct motive and which wants them all dead. The teen's only chance of survival is to uncover the asylum's deep mysteries and find a way out before it's too late."",""3619167"",""1/16/2015"",""47"",""79"",""0"",""possession"",""Marcus Nispel"",""""",,,,,,,
"Firefox,""When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last playâ€¦ and it's all or nothing."",""480343"",""1/14/2015"",""54"",""656"",""30000000"",""gambling bodyguard remake"",""Simon West"",""""",,,,,,,
"The Thing,""A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong."",""46832372"",""1/13/2015"",""51"",""826"",""70000000"",""terrorist technology anti hero hacker computer virus"",""Michael Mann"",""""",,,,,,,
"Blade Runner,""Whatâ€™s the matter with Kathy (Jordan Trovillion, Highland Park)? Sheâ€™s your typical 17 year-old girl in search of something more in her life. It seems the only place she is going to find it is at Horse Camp. Her father Luke (Dean Cain, Lois &amp"," Clark: The New Adventures of Superman) recognizes that sheâ€™s got it in her blood, a sensibility in her being - she understands horses just as much as they understand her. But at Horse Camp there is much more to learn, not only about horses, but about people and the many challenges of friendship."",""172299"",""1/10/2015"",""55"",""2"",""0"",""horse teenage girl"",""Joel Paul Reisig"",""""",,,,,,
"Megaforce,""The Post War II story of Manhattan born Mike Esposito, a practiced tailor of custom mens clothing"," a man of dignity and honor, whose developing involvements with the Italian mob wraps him up in a world of moral dilemma and clashing values."",""27801"",""1/1/2015"",""0"",""0"",""0"","""","""",""""",,,,,,
"The Best Little Whorehouse in Texas,""Action - Orphan, con artist, crime boss and millionaire, Diamond Ruff has seen it all. In prison for a murder he did not commit, he meets the Reverend Trek Woods, who overwhelms him with kindness, character and faith in god. Falling in love with April, a young woman with terminal illness, Ruff is again challenged to grow and change. Will he be redeemed? There are no easy answers. -  Felicia Pearson, Fredro Starr, Michael Barra"",""165257"",""1/1/2015"",""24"",""4"",""0"","""","""",""""",,,,,,,
"Fast Times at Ridgemont High,""The Warwick family are unknowingly being filmed for a new reality show. Problem is, they're boring. So the producer must add conflict and drama to their lives. Their lives begin to unravel with shocking consequences."",""4.72E+16"",""1/1/2015"",""55"",""2"",""0"",""wife husband relationship reality reality tv reality spoof"",""Adam Rifkin"",""""",,,,,,,
"Friday the 13th Part III,""A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built."",""37629309"",""12/30/2014"",""65"",""546"",""20000000"",""corruption capitalism winter american dream immigrant"",""J.C. Chandor"",""""",,,,,,,
"The Beastmaster,""A chronicle of the life of Louis Zamperini, an Olympic runner who was taken prisoner by Japanese forces during World War II."",""43055253"",""12/25/2014"",""73"",""1400"",""65000000"",""world war ii prisoners of war biography sport war"",""Angelina Jolie"",""""",,,,,,,
"Class of 1984,""In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch."",""6.59E+15"",""12/25/2014"",""56"",""1652"",""50000000"",""witch cinderella prince fairy tale musical"",""Rob Marshall"",""""",,,,,,,
"First Blood,""Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show """"Skylark Tonight"""". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission."",""7.42E+15"",""12/25/2014"",""61"",""2304"",""44000000"",""cia coup d'etat north korea assassination attempt evil dictator"",""Seth Rogen"",""""",,,,,,,
"Halloween III: Season of the Witch,""Literature professor Jim Bennett leads a secret life as a high-stakes gambler. Always a risk-taker, Bennett bets it all when he borrows from a gangster and offers his own life as collateral. Staying one step ahead, he pits his creditor against the operator of an illicit gambling ring while garnering the attention of Frank, a paternalistic loan shark. As his relationship with a student deepens, Bennett must risk everything for a second chance."",""22622453"",""12/25/2014"",""57"",""543"",""25000000"",""gambling gun professor beating gambler"",""Rupert Wyatt"",""""",,,,,,,
"Jekyll and Hyde ... Together Again,""In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace."",""22096286"",""12/25/2014"",""68"",""431"",""22500000"",""istanbul australia post world war i farmer missing in action"",""Russell Crowe"",""""",,,,,,,
"Creepshow,""""""Selma,"""" as in Alabama, the place where segregation in the South was at its worst, leading to a march that ended in violence, forcing a famous statement by President Lyndon B. Johnson that ultimately led to the signing of the Civil Rights Act."",""2.90E+16"",""12/25/2014"",""74"",""817"",""20000000"",""alabama martin luther king president black american civil rights"",""Ava DuVernay"",""""",,,,,,,
"Gandhi,""In Los Angeles at the turn of the 1970s, drug-fueled detective Larry """"Doc"""" Sportello investigates the disappearance of an ex-girlfriend."",""45742217"",""12/25/2014"",""65"",""833"",""20000000"",""based on novel 1970s private investigator smoking marijuana los angeles"",""Paul Thomas Anderson"",""""",,,,,,,
"The Verdict,""The story of the awakening of the painter, Margaret Keane, her phenomenal success in the 1950s, and the subsequent legal difficulties she had with her husband, who claimed credit for her works in the 1960s."",""2.86E+16"",""12/24/2014"",""68"",""1196"",""10000000"",""wife husband relationship artist court case"",""Tim Burton"",""""",,,,,,,
"Tootsie,""Everyone hates Wardâ€™s wife and wants her dead, Ward (Donald Faison) most of all. But when his friendsâ€™ murderous fantasies turn into an (accidental) reality, they have to deal with a whole new set of problems â€” like how to dispose of the body and still make their 3 p.m. tee time. Scott Foley's directorial debut, also starring Foley, Patrick Wilson, Amy Acker, and Nicolette Sheridan, is a blackly comic caper about helping a friend out of a bad relationship by any means necessary."",""8496364"",""12/23/2014"",""55"",""76"",""5000000"",""wife murder murder plot"",""Scott Foley"",""""",,,,,,,
"Videodrome,""Ever since her parents left her as a baby, little Annie has led a hard-knock life with her calculating foster mother, Miss Hannigan. However, all that changes when hard-nosed billionaire and mayoral candidate Will Stacks takes her in on the recommendation of his advisers. Stacks believes that he's Annie's guardian angel, but the plucky youngster's confidence and sunny outlook may mean that Annie will save Will instead."",""33439187"",""12/19/2014"",""60"",""466"",""65000000"",""musical orphan foster child"",""Will Gluck"",""""",,,,,,,
"Gabriela,""When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley (Ben Stiller) spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever."",""115597753"",""12/17/2014"",""61"",""1851"",""127000000"",""night watchman museum natural history history smithsonian"",""Shawn Levy"",""""",,,,,,,
"The Outsiders,""The whole BÃ©lier family is deaf, except for sixteen year old Paula who is the important translator in her parents' day to day life especially when it comes to matters concerning the family farm. When her music teacher discovers she has a fantastic singing voice and she gets an opportunity to enter a big Radio France contest the whole family's future is set up for big changes."",""25302978"",""12/17/2014"",""70"",""766"",""11000000"",""deafness music coming of age teenage girl singing"",""Eric Lartigau"",""""",,,,,,,
"Love Letters,""Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice."",""8.88E+15"",""12/16/2014"",""61"",""2200"",""48000000"",""revenge murder on the run fugitive framed"",""Olivier Megaton"",""""",,,,,,,
"Losin' It,""John Gregory, who is a seventh son of a seventh son and also the local spook, has protected the country from witches, boggarts, ghouls and all manner of things that go bump in the night. However John is not young anymore, and has been seeking an apprentice to carry on his trade. Most have failed to survive. The last hope is a young farmer's son named Thomas Ward. Will he survive the training to become the spook that so many others couldn't?"",""63628459"",""12/12/2014"",""52"",""957"",""95000000"",""magic chosen one dark fantasy witch hunter evil witch"",""Sergei Bodrov"",""""",,,,,,,
"Flashdance,""A comedian tries to make it as a serious actor when his reality-TV star fiancÃ© talks him into broadcasting their wedding on her TV show."",""15896312"",""12/12/2014"",""63"",""210"",""0"",""comedian interview reporter movie star fianc\u00e9 fianc\u00e9e relationship"",""Chris Rock"",""""",,,,,,,
"Lone Wolf McQuade,""U.S. Navy SEAL Chris Kyle takes his sole missionâ€”protect his comradesâ€”to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind."",""8753437"",""12/11/2014"",""74"",""4469"",""58800000"",""sniper biography iraq navy seal u.s. soldier"",""Clint Eastwood"",""""",,,,,,,
"The Wicked Lady,""Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands."",""1.21E+16"",""12/10/2014"",""71"",""4760"",""250000000"",""corruption elves dwarves orcs middle-earth (tolkien)"",""Peter Jackson"",""""",,,,,,,
"Return of the Jedi,""A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail."",""42952942"",""12/5/2014"",""70"",""951"",""15000000"",""adventure biography hiking based on true story traveller"",""Jean-Marc Vall\u00e9e"",""""",,,,,,,
"WarGames,""Alice Howland, happily married with three grown children, is a renowned linguistics professor who starts to forget words. When she receives a devastating diagnosis, Alice and her family find their bonds tested."",""35307577"",""12/5/2014"",""75"",""1104"",""5000000"",""mother professor illness"",""Richard Glatzer"",""""",,,,,,,
"Octopussy,""Evan Lake, a veteran CIA agent, has been ordered to retire. But when his protÃ©gÃ© uncovers evidence that Lake's nemesis, the terrorist Banir, has resurfaced, Lake goes rogue, embarking on a perilous, intercontinental mission to eliminate his sworn enemy."",""1.05E+16"",""12/4/2014"",""45"",""118"",""15000000"",""cia retirement espionage terrorism"",""Paul Schrader"",""""",,,,,,,
"Trading Places,""The defiant leader Moses rises up against the Egyptian Pharaoh Ramses, setting 400,000 slaves on a monumental journey of escape from Egypt and its terrifying cycle of deadly plagues."",""101599427"",""12/3/2014"",""56"",""1921"",""140000000"",""moses bible ancient egypt 3d ramses"",""Ridley Scott"",""""",,,,,,,
"Superman III,""Prequel to """"5th of a Degree."""""",""18087"",""12/1/2014"",""0"",""0"",""300000"","""","""",""""",,,,,,,
"Twilight Zone: The Movie,""A young Peruvian bear with a passion for all things British travels to London in search of a home. Finding himself lost and alone at Paddington Station, he begins to realize that city life is not all he had imagined - until he meets the kindly Brown family, who read the label around his neck ('Please look after this bear. Thank you.') and offer him a temporary haven. It looks as though his luck has changed until this rarest of bears catches the eye of a museum taxidermist..."",""39882276"",""11/27/2014"",""70"",""883"",""55000000"",""england train station based on novel bear anthropomorphism"",""Paul King"",""""",,,,,,,
