"original_title,""overview"",""popularity"",""release_date"",""vote_average"",""vote_count"",""budget"",""keywords"",""director"",""comentarios""",,,,,,,
"Mr. Smith Goes to Washington,""Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."",""6621806"",""7/14/2016"",""53"",""2142"",""144000000"",""female friendship ghost hunting reboot ghost"",""Paul Feig"",""""",,,,,,,
"Gone with the Wind,""Eric and Kurt Sloane are the descendants of a well-known Venice, California-based family of martial artists.  Kurt, the younger of the two,  has always been in his brother Ericâ€™s shadow, and despite his talent has been told he lacks the instinct needed to become a champion.  But when Kurt witnesses the merciless murder of his brother at the hands of Muay Thai champion Tong Po, he vows revenge.  He trains with his brotherâ€™s mentor for a fight to the death with Tong Po. At first it seems impossible to turn Kurt into the living weapon he must become to beat Tong Po, but through a series of tests and dangerous encounters, Kurt proves he has a deeper strength that will carry him through to his final showdown with Tong Po."",""6.53E+15"",""7/14/2016"",""45"",""99"",""17000000"",""martial arts kickboxing martial arts tournament reboot thai boxing"",""John Stockwell"",""""",,,,,,,
"The Blue Bird,""A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar."",""24672234"",""7/13/2016"",""66"",""573"",""25000000"",""undercover biography drug drug lord"",""Brad Furman"",""""",,,,,,,
"Pinocchio,""Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store."",""66242737"",""7/11/2016"",""56"",""2238"",""19000000"",""supermarket party sausage food anthropomorphism"",""Conrad Vernon"",""""",,,,,,,
"Rebecca,""Two teenage yoga enthusiasts team up with a legendary man-hunter to battle with an ancient evil presence that is threatening their major party plans."",""8618793"",""7/8/2016"",""47"",""102"",""5000000"",""canada nazis sequel spin off ancient evil"",""Kevin Smith"",""""",,,,,,,
"Boom Town,""Sara Gold is a young girl on a quest to save man's best friend. When she goes undercover to take down a dog breeder suspected of wrongdoing, she quickly finds out she might be on the wrong side of right. Sara must make a decision: to continue and follow the orders of her organization, United Animal Protection Agency, or trust her instincts and the boy she's fallen in love with."",""1193219"",""7/8/2016"",""53"",""6"",""2000000"",""undercover dog animal welfare animal rights organization puppy mill"",""Alex Ranarivelo"",""""",,,,,,,
"Fantasia,""The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test."",""65352913"",""7/7/2016"",""66"",""2568"",""185000000"",""sequel stranded hatred space opera"",""Justin Lin"",""""",,,,,,,
"How Green Was My Valley,""Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."",""42741719"",""6/29/2016"",""55"",""2430"",""180000000"",""africa feral child tarzan jungle animal attack"",""David Yates"",""""",,,,,,,
"Bambi,""Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night."",""53727146"",""6/29/2016"",""61"",""1306"",""10000000"",""dystopia sequel legalized murder"",""James DeMonaco"",""""",,,,,,,
"Casablanca,""In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history."",""2.16E+16"",""6/24/2016"",""66"",""428"",""50000000"",""slavery american civil war"",""Gary Ross"",""""",,,,,,,
